Initialization step:  572292.7272029389
Iteration  1 :  185055.81285874307
Iteration  2 :  97735.40077028591
Iteration  3 :  90555.2907134804
Iteration  4 :  85179.94130927073
Iteration  5 :  80073.46467687402
Iteration  6 :  75441.1591114291
Iteration  7 :  71436.60379916825
Iteration  8 :  68029.46329222828
Iteration  9 :  65139.364506936145
Iteration  10 :  62689.71790632717
Iteration  11 :  60616.59414844565
Iteration  12 :  58847.56133313288
Iteration  13 :  57331.048855176174
Iteration  14 :  56023.145702193244
Iteration  15 :  54900.66231731659
Iteration  16 :  53924.50250634451
Iteration  17 :  53061.34125301817
Iteration  18 :  52309.73922159625
Iteration  19 :  51647.07628224232
Iteration  20 :  51052.14045698166
Iteration  21 :  50527.85862915662
Iteration  22 :  50060.253059780625
Iteration  23 :  49634.69852214973
Iteration  24 :  49255.37934158152
Iteration  25 :  48912.067509265915
Iteration  26 :  48588.73941247531
Iteration  27 :  48317.92565940781
Iteration  28 :  48060.78954821082
Iteration  29 :  47824.808759965956
Iteration  30 :  47616.322593564495
Iteration  31 :  47412.03798292995
Iteration  32 :  47231.05145706527
Iteration  33 :  47066.157719315284
Iteration  34 :  46904.37221935834
Iteration  35 :  46753.86499131585
Iteration  36 :  46617.09378194336
Iteration  37 :  46493.59830252634
Iteration  38 :  46383.545975037254
Iteration  39 :  46267.90052035982
Iteration:  40 , error: 46164.78504198972
